,Country,Average Temp,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),co2 Emissions (metric tons per capita),Latitude,Longitude,2020 Population,Renewable energy consumption per capita (kWh/person)
0,Algeria,19.455219780219778,0.16,75.85,0.0,0.84,1.0953188,16259.053,171250.0,28.033886,1.659626,43451666,26.0144848
1,Angola,25.89010989010989,54.69,4.38,0.0,11.02,71.55844,3667.4238,25210.0,-11.202692,17.873887,33428485,2005.71407622
2,Antigua and Barbuda,26.725274725274726,0.91,0.33,0.0,0.01,2.9411764,33027.516,520.0,17.060816,-61.796428,92664,300.55039560000006
3,Argentina,17.916483516483517,10.74,90.56,7.97,34.63,31.991589,20725.168,168100.0,-38.416097,-63.616672,45036032,2225.8830432000004
4,Austria,14.14478021978022,33.77,16.22,0.0,54.64,77.109795,48314.258,64770.0,47.516231,14.550072,8907777,16315.724926600002
5,Azerbaijan,15.443131868131868,1.62,22.91,0.0,1.69,6.869919,17546.781,35510.0,40.143105,47.576927,10284951,284.2578522
6,Bahrain,27.92032967032967,0.0,31.43,0.0,0.01,0.031806614,155398.47,33260.0,26.0667,50.5577,1477469,0.0
7,Bangladesh,26.24203296703297,24.75,78.37,0.0,1.14,1.4337819,2916.3176,90740.0,23.684994,90.356331,167420951,721.788606
8,Barbados,27.50824175824176,4.31,0.98,0.0,0.04,3.9215686,25172.027,1250.0,13.193887,-59.543198,280693,1084.9143636999997
9,Belarus,9.339285714285714,7.83,36.74,0.0,0.94,2.494692,31923.436,57670.0,53.709807,27.953389,9633740,2499.6050388
10,Belgium,11.756593406593405,10.21,29.32,43.52,19.47,68.237465,64152.26,93010.0,50.503887,4.469936,11561717,6549.945746
11,Benin,27.6239010989011,46.47,0.19,0.0,0.01,5.0,2416.162,7300.0,9.30769,2.315834,12643123,1122.7904813999999
